Date,Url
2018-06-01,http://www.ciaps.org.cn/quote/show-htm-itemid-27473.html
2018-06-04,http://www.ciaps.org.cn/quote/show-htm-itemid-27505.html
2018-06-05,http://www.ciaps.org.cn/quote/show-htm-itemid-27537.html
2018-06-06,http://www.ciaps.org.cn/quote/show-htm-itemid-27569.html
2018-06-07,http://www.ciaps.org.cn/quote/show-htm-itemid-27601.html
2018-06-08,http://www.ciaps.org.cn/quote/show-htm-itemid-27633.html
2018-06-11,http://www.ciaps.org.cn/quote/show-htm-itemid-27666.html
2018-06-12,http://www.ciaps.org.cn/quote/show-htm-itemid-27699.html
2018-06-13,http://www.ciaps.org.cn/quote/show-htm-itemid-27732.html
2018-06-14,http://www.ciaps.org.cn/quote/show-htm-itemid-27765.html
2018-06-15,http://www.ciaps.org.cn/quote/show-htm-itemid-27798.html
2018-06-18,http://www.ciaps.org.cn/quote/show-htm-itemid-27831.html
2018-06-19,http://www.ciaps.org.cn/quote/show-htm-itemid-27864.html
2018-06-20,http://www.ciaps.org.cn/quote/show-htm-itemid-27897.html
2018-06-21,http://www.ciaps.org.cn/quote/show-htm-itemid-27930.html
2018-06-22,http://www.ciaps.org.cn/quote/show-htm-itemid-27963.html
2018-06-25,http://www.ciaps.org.cn/quote/show-htm-itemid-27996.html
2018-06-26,http://www.ciaps.org.cn/quote/show-htm-itemid-28029.html
2018-06-27,http://www.ciaps.org.cn/quote/show-htm-itemid-28062.html
2018-06-28,http://www.ciaps.org.cn/quote/show-htm-itemid-28095.html
2018-06-29,http://www.ciaps.org.cn/quote/show-htm-itemid-28128.html
2018-07-02,http://www.ciaps.org.cn/quote/show-htm-itemid-28161.html
2018-07-03,http://www.ciaps.org.cn/quote/show-htm-itemid-28194.html
2018-07-04,http://www.ciaps.org.cn/quote/show-htm-itemid-28227.html
2018-07-05,http://www.ciaps.org.cn/quote/show-htm-itemid-28260.html
2018-07-06,http://www.ciaps.org.cn/quote/show-htm-itemid-28293.html
2018-07-09,http://www.ciaps.org.cn/quote/show-htm-itemid-28327.html
2018-07-10,http://www.ciaps.org.cn/quote/show-htm-itemid-28362.html
2018-07-11,http://www.ciaps.org.cn/quote/show-htm-itemid-28397.html
2018-07-12,http://www.ciaps.org.cn/quote/show-htm-itemid-28431.html
2018-07-13,http://www.ciaps.org.cn/quote/show-htm-itemid-28465.html
2018-07-16,http://www.ciaps.org.cn/quote/show-htm-itemid-28499.html
2018-07-17,http://www.ciaps.org.cn/quote/show-htm-itemid-28533.html
