Date,Url
2018-06-01,http://www.ciaps.org.cn/quote/show-htm-itemid-27484.html
2018-06-04,http://www.ciaps.org.cn/quote/show-htm-itemid-27516.html
2018-06-05,http://www.ciaps.org.cn/quote/show-htm-itemid-27548.html
2018-06-06,http://www.ciaps.org.cn/quote/show-htm-itemid-27580.html
2018-06-07,http://www.ciaps.org.cn/quote/show-htm-itemid-27612.html
2018-06-08,http://www.ciaps.org.cn/quote/show-htm-itemid-27644.html
2018-06-11,http://www.ciaps.org.cn/quote/show-htm-itemid-27677.html
2018-06-12,http://www.ciaps.org.cn/quote/show-htm-itemid-27710.html
2018-06-13,http://www.ciaps.org.cn/quote/show-htm-itemid-27743.html
2018-06-14,http://www.ciaps.org.cn/quote/show-htm-itemid-27776.html
2018-06-15,http://www.ciaps.org.cn/quote/show-htm-itemid-27809.html
2018-06-18,http://www.ciaps.org.cn/quote/show-htm-itemid-27842.html
2018-06-19,http://www.ciaps.org.cn/quote/show-htm-itemid-27875.html
2018-06-20,http://www.ciaps.org.cn/quote/show-htm-itemid-27908.html
2018-06-21,http://www.ciaps.org.cn/quote/show-htm-itemid-27941.html
2018-06-22,http://www.ciaps.org.cn/quote/show-htm-itemid-27974.html
2018-06-25,http://www.ciaps.org.cn/quote/show-htm-itemid-28007.html
2018-06-26,http://www.ciaps.org.cn/quote/show-htm-itemid-28040.html
2018-06-27,http://www.ciaps.org.cn/quote/show-htm-itemid-28073.html
2018-06-28,http://www.ciaps.org.cn/quote/show-htm-itemid-28106.html
2018-06-29,http://www.ciaps.org.cn/quote/show-htm-itemid-28139.html
2018-07-02,http://www.ciaps.org.cn/quote/show-htm-itemid-28172.html
2018-07-03,http://www.ciaps.org.cn/quote/show-htm-itemid-28205.html
2018-07-04,http://www.ciaps.org.cn/quote/show-htm-itemid-28238.html
2018-07-05,http://www.ciaps.org.cn/quote/show-htm-itemid-28271.html
2018-07-06,http://www.ciaps.org.cn/quote/show-htm-itemid-28304.html
2018-07-09,http://www.ciaps.org.cn/quote/show-htm-itemid-28338.html
2018-07-10,http://www.ciaps.org.cn/quote/show-htm-itemid-28373.html
2018-07-11,http://www.ciaps.org.cn/quote/show-htm-itemid-28408.html
2018-07-12,http://www.ciaps.org.cn/quote/show-htm-itemid-28442.html
2018-07-13,http://www.ciaps.org.cn/quote/show-htm-itemid-28476.html
2018-07-16,http://www.ciaps.org.cn/quote/show-htm-itemid-28510.html
2018-07-17,http://www.ciaps.org.cn/quote/show-htm-itemid-28544.html
2018-07-18,http://www.ciaps.org.cn/quote/show-htm-itemid-28577.html
2018-07-19,http://www.ciaps.org.cn/quote/show-htm-itemid-28610.html
2018-07-20,http://www.ciaps.org.cn/quote/show-htm-itemid-28643.html
2018-07-23,http://www.ciaps.org.cn/quote/show-htm-itemid-28676.html
2018-07-24,http://www.ciaps.org.cn/quote/show-htm-itemid-28709.html
2018-07-25,http://www.ciaps.org.cn/quote/show-htm-itemid-28742.html
2018-07-26,http://www.ciaps.org.cn/quote/show-htm-itemid-28775.html
2018-07-27,http://www.ciaps.org.cn/quote/show-htm-itemid-28808.html
2018-07-30,http://www.ciaps.org.cn/quote/show-htm-itemid-28841.html
2018-07-31,http://www.ciaps.org.cn/quote/show-htm-itemid-28874.html
2018-08-01,http://www.ciaps.org.cn/quote/show-htm-itemid-28907.html
2018-08-02,http://www.ciaps.org.cn/quote/show-htm-itemid-28940.html
2018-08-03,http://www.ciaps.org.cn/quote/show-htm-itemid-28973.html
2018-08-06,http://www.ciaps.org.cn/quote/show-htm-itemid-29006.html
2018-08-07,http://www.ciaps.org.cn/quote/show-htm-itemid-29039.html
2018-08-08,http://www.ciaps.org.cn/quote/show-htm-itemid-29072.html
2018-08-09,http://www.ciaps.org.cn/quote/show-htm-itemid-29105.html
2018-08-10,http://www.ciaps.org.cn/quote/show-htm-itemid-29138.html
2018-08-13,http://www.ciaps.org.cn/quote/show-htm-itemid-29171.html
2018-08-14,http://www.ciaps.org.cn/quote/show-htm-itemid-29204.html
2018-08-15,http://www.ciaps.org.cn/quote/show-htm-itemid-29237.html
2018-08-16,http://www.ciaps.org.cn/quote/show-htm-itemid-29270.html
2018-08-17,http://www.ciaps.org.cn/quote/show-htm-itemid-29303.html
